Lambert Airport Terminal # 1,Lambert Airport Terminal # 2,North Hanley Station,UMSL North Station,UMSL South Station,Rock Road Station,Wellston Station,Delmar Loop Station,ShrewsburyLansdowne I44 Station,Sunnen Station,MaplewoodManchester Station,Brentwood I64 Station,Richmond Heights Station,Clayton Station,Forsyth Station,University CityBig Bend Station,Skinker Station,Forest ParkDeBaliviere Station,Central West End Station,Cortex Station,Grand Station,Union Station,Civic Center Station,Stadium Station,8th & Pine Station,Convention Center Station,Laclede's Landing Station,East Riverfront Station,5th & Missouri Station,Emerson Park Station,JJK Center Station,Washington Park Station,Fairview Heights Station,Memorial Hospital Station,Swansea Station,Belleville Station,College Station,ShilohScott Station
8:36AR,8:38AR,8:43AR,8:45AR,8:47AR,8:49AR,8:51AR,8:53AR,,,,,,,,,,8:55AR,8:58AR,9:00AR,9:02AR,9:06AR,9:07AR,9:09AR,9:10AR,9:12AR,9:13AR,9:14AR,9:17AR,9:20AR,9:22AR,9:25AR,9:30AR,9:34AR,9:38AR,9:40AR,9:45AR,9:50AR
,,,,,,,,8:48AB,8:51AB,8:52AB,8:54AB,8:56AB,8:58AB,8:59AB,9:01AB,9:03AB,9:05AB,9:08AB,9:10AB,9:12AB,9:16AB,9:17AB,9:19AB,9:20AB,9:22AB,9:23AB,9:24AB,9:27AB,9:30AB,9:32AB,9:35AB,9:40AB,,,,,
8:56AR,8:58AR,9:03AR,9:05AR,9:07AR,9:09AR,9:11AR,9:13AR,,,,,,,,,,9:15AR,9:18AR,9:20AR,9:22AR,9:26AR,9:27AR,9:29AR,9:30AR,9:32AR,9:33AR,9:34AR,9:37AR,9:40AR,9:42AR,9:45AR,9:50AR,9:54AR,9:58AR,10:00AR,10:05AR,10:10AR
,,,,,,,,9:08AB,9:11AB,9:12AB,9:14AB,9:16AB,9:18AB,9:19AB,9:21AB,9:23AB,9:25AB,9:28AB,9:30AB,9:32AB,9:36AB,9:37AB,9:39AB,9:40AB,9:42AB,9:43AB,9:44AB,9:47AB,9:50AB,9:52AB,9:55AB,10:00AB,,,,,
9:16AR,9:18AR,9:23AR,9:25AR,9:27AR,9:29AR,9:31AR,9:33AR,,,,,,,,,,9:35AR,9:38AR,9:40AR,9:42AR,9:46AR,9:47AR,9:49AR,9:50AR,9:52AR,9:53AR,9:54AR,9:57AR,10:00AR,10:02AR,10:05AR,10:10AR,10:14AR,10:18AR,10:20AR,10:25AR,10:30AR
,,,,,,,,9:28AB,9:31AB,9:32AB,9:34AB,9:36AB,9:38AB,9:39AB,9:41AB,9:43AB,9:45AB,9:48AB,9:50AB,9:52AB,9:56AB,9:57AB,9:59AB,10:00AB,10:02AB,10:03AB,10:04AB,10:07AB,10:10AB,10:12AB,10:15AB,10:20AB,,,,,
9:36AR,9:38AR,9:43AR,9:45AR,9:47AR,9:49AR,9:51AR,9:53AR,,,,,,,,,,9:55AR,9:58AR,10:00AR,10:02AR,10:06AR,10:07AR,10:09AR,10:10AR,10:12AR,10:13AR,10:14AR,10:17AR,10:20AR,10:22AR,10:25AR,10:30AR,10:34AR,10:38AR,10:40AR,10:45AR,10:50AR
,,,,,,,,9:48AB,9:51AB,9:52AB,9:54AB,9:56AB,9:58AB,9:59AB,10:01AB,10:03AB,10:05AB,10:08AB,10:10AB,10:12AB,10:16AB,10:17AB,10:19AB,10:20AB,10:22AB,10:23AB,10:24AB,10:27AB,10:30AB,10:32AB,10:35AB,10:40AB,,,,,
9:56AR,9:58AR,10:03AR,10:05AR,10:07AR,10:09AR,10:11AR,10:13AR,,,,,,,,,,10:15AR,10:18AR,10:20AR,10:22AR,10:26AR,10:27AR,10:29AR,10:30AR,10:32AR,10:33AR,10:34AR,10:37AR,10:40AR,10:42AR,10:45AR,10:50AR,10:54AR,10:58AR,11:00AR,11:05AR,11:10AR
,,,,,,,,10:08AB,10:11AB,10:12AB,10:14AB,10:16AB,10:18AB,10:19AB,10:21AB,10:23AB,10:25AB,10:28AB,10:30AB,10:32AB,10:36AB,10:37AB,10:39AB,10:40AB,10:42AB,10:43AB,10:44AB,10:47AB,10:50AB,10:52AB,10:55AB,11:00AB,,,,,
10:16AR,10:18AR,10:23AR,10:25AR,10:27AR,10:29AR,10:31AR,10:33AR,,,,,,,,,,10:35AR,10:38AR,10:40AR,10:42AR,10:46AR,10:47AR,10:49AR,10:50AR,10:52AR,10:53AR,10:54AR,10:57AR,11:00AR,11:02AR,11:05AR,11:10AR,11:14AR,11:18AR,11:20AR,11:25AR,11:30AR
,,,,,,,,10:28AB,10:31AB,10:32AB,10:34AB,10:36AB,10:38AB,10:39AB,10:41AB,10:43AB,10:45AB,10:48AB,10:50AB,10:52AB,10:56AB,10:57AB,10:59AB,11:00AB,11:02AB,11:03AB,11:04AB,11:07AB,11:10AB,11:12AB,11:15AB,11:20AB,,,,,
