ShilohScott Station,College Station,Belleville Station,Swansea Station,Memorial Hospital Station,Fairview Heights Station,Washington Park Station,JJK Center Station,Emerson Park Station,5th & Missouri Station,East Riverfront Station,Laclede's Landing Station,Convention Center Station,8th & Pine Station,Stadium Station,Civic Center Station,Union Station,Grand Station,Cortex Station,Central West End Station,Forest ParkDeBaliviere Station,Skinker Station,University CityBig Bend Station,Forsyth Station,Clayton Station,Richmond Heights Station,Brentwood I64 Station,MaplewoodManchester Station,Sunnen Station,ShrewsburyLansdowne I44 Station,Delmar Loop Station,Wellston Station,Rock Road Station,UMSL South Station,UMSL North Station,North Hanley Station,Lambert Airport Terminal # 2,Lambert Airport Terminal # 1
8:43AR,8:48AR,8:53AR,8:55AR,8:59AR,9:03AR,9:08AR,9:11AR,9:13AR,9:16AR,9:19AR,9:20AR,9:21AR,9:23AR,9:24AR,9:26AR,9:27AR,9:31AR,9:33AR,9:35AR,9:38AR,,,,,,,,,,9:41AR,9:43AR,9:45AR,9:47AR,9:49AR,9:51AR,9:56AR,9:58AR
,,,,,9:12AB,9:17AB,9:20AB,9:22AB,9:25AB,9:28AB,9:29AB,9:30AB,9:32AB,9:33AB,9:35AB,9:36AB,9:40AB,9:42AB,9:44AB,9:47AB,9:51AB,9:54AB,9:57AB,9:58AB,10:00AB,10:02AB,10:04AB,10:05AB,10:08AB,,,,,,,,
9:03AR,9:08AR,9:13AR,9:15AR,9:19AR,9:23AR,9:28AR,9:31AR,9:33AR,9:36AR,9:39AR,9:40AR,9:41AR,9:43AR,9:44AR,9:46AR,9:47AR,9:51AR,9:53AR,9:55AR,9:58AR,,,,,,,,,,10:01AR,10:03AR,10:05AR,10:07AR,10:09AR,10:11AR,10:16AR,10:18AR
,,,,,9:32AB,9:37AB,9:40AB,9:42AB,9:45AB,9:48AB,9:49AB,9:50AB,9:52AB,9:53AB,9:55AB,9:56AB,10:00AB,10:02AB,10:04AB,10:07AB,10:11AB,10:14AB,10:17AB,10:18AB,10:20AB,10:22AB,10:24AB,10:25AB,10:28AB,,,,,,,,
9:23AR,9:28AR,9:33AR,9:35AR,9:39AR,9:43AR,9:48AR,9:51AR,9:53AR,9:56AR,9:59AR,10:00AR,10:01AR,10:03AR,10:04AR,10:06AR,10:07AR,10:11AR,10:13AR,10:15AR,10:18AR,,,,,,,,,,10:21AR,10:23AR,10:25AR,10:27AR,10:29AR,10:31AR,10:36AR,10:38AR
,,,,,9:52AB,9:57AB,10:00AB,10:02AB,10:05AB,10:08AB,10:09AB,10:10AB,10:12AB,10:13AB,10:15AB,10:16AB,10:20AB,10:22AB,10:24AB,10:27AB,10:31AB,10:34AB,10:37AB,10:38AB,10:40AB,10:42AB,10:44AB,10:45AB,10:48AB,,,,,,,,
9:43AR,9:48AR,9:53AR,9:55AR,9:59AR,10:03AR,10:08AR,10:11AR,10:13AR,10:16AR,10:19AR,10:20AR,10:21AR,10:23AR,10:24AR,10:26AR,10:27AR,10:31AR,10:33AR,10:35AR,10:38AR,,,,,,,,,,10:41AR,10:43AR,10:45AR,10:47AR,10:49AR,10:51AR,10:56AR,10:58AR
,,,,,10:12AB,10:17AB,10:20AB,10:22AB,10:25AB,10:28AB,10:29AB,10:30AB,10:32AB,10:33AB,10:35AB,10:36AB,10:40AB,10:42AB,10:44AB,10:47AB,10:51AB,10:54AB,10:57AB,10:58AB,11:00AB,11:02AB,11:04AB,11:05AB,11:08AB,,,,,,,,
10:03AR,10:08AR,10:13AR,10:15AR,10:19AR,10:23AR,10:28AR,10:31AR,10:33AR,10:36AR,10:39AR,10:40AR,10:41AR,10:43AR,10:44AR,10:46AR,10:47AR,10:51AR,10:53AR,10:55AR,10:58AR,,,,,,,,,,11:01AR,11:03AR,11:05AR,11:07AR,11:09AR,11:11AR,11:16AR,11:18AR
,,,,,10:32AB,10:37AB,10:40AB,10:42AB,10:45AB,10:48AB,10:49AB,10:50AB,10:52AB,10:53AB,10:55AB,10:56AB,11:00AB,11:02AB,11:04AB,11:07AB,11:11AB,11:14AB,11:17AB,11:18AB,11:20AB,11:22AB,11:24AB,11:25AB,11:28AB,,,,,,,,
